
C0 = 0.4995   Ce = 0.4933   Ci = 0.5   C6 = -3.6319444444444444444444444E-4   C5 = 4.4324074074074074074E-3   C4 = -2.02606481481481481481E-2   C3 = 4.10768518518518518519E-2   C2 = -3.10854166666666666667E-2   zi = 3.0   ze = 1.0   J = 6995968
     t M                     N                     C                     k                 R
    30 3.26901737247211E+6   3.220626324310704E+6  4.99463389930032E-1   3.04563332444113  4.003              54
    31 5.389698476283012E+6  5.307140953549578E+6  4.994609697424753E-1  3.04722533376424  4.12               54
    32 8.886110520507873E+6  8.745403241171236E+6  4.994584761428715E-1  3.04882567231444  4.236              53
    33 1.465071942895352E+7  1.441112738406537E+7  4.994559094987095E-1  3.05043457355366  4.351              54
    34 2.41549527535753E+7   2.374733858715779E+7  4.994532701766011E-1  3.05205227116257  4.467              54
    35 3.982478439757623E+7  3.91318851072909E+7   4.994505585422823E-1  3.0536789987546   4.582              53
    36 6.565996913733051E+7  6.448302485300769E+7  4.99447774960614E-1   3.05531498969675  4.697              54
    37 1.082549877502308E+8  1.06257308044054E+8   4.99444919795584E-1   3.05696047699828  4.812              54
    38 1.784823009631873E+8  1.750938777677431E+8  4.994419934103072E-1  3.05861569324287  4.926              55
    39 2.942675660415088E+8  2.885239216619846E+8  4.994389961670274E-1  3.06028087054822  5.041              54
    40 4.851651954097903E+8  4.754352463430484E+8  4.99435928427118E-1   3.06195624054325  5.155              54
    41 7.999021774755054E+8  7.834288774298902E+8  4.994327905510838E-1  3.06364203435629  5.269              54
    42 1.318815734483215E+9  1.290941013001778E+9  4.994295828985613E-1  3.06533848261044  5.382              55
    43 2.174359553576489E+9  2.127217087832284E+9  4.994263058283205E-1  3.06704581542342  5.496              54
    44 3.584912846131592E+9  3.505224101601871E+9  4.994229596982656E-1  3.06876426241027  5.609              54
    45 5.91052206302329E+9   5.775881801222062E+9  4.994195448654365E-1  3.07049405268792  5.722              55
    46 9.744803446248903E+9  9.517421581284697E+9  4.994160616860097E-1  3.07223541488099  5.835              54
    47 1.60664647206225E+10  1.5682626144415E+10   4.994125105152997E-1  3.07398857712838  5.947              54
    48 2.64891221298435E+10  2.58414402381148E+10  4.994088917077597E-1  3.07575376709037  6.06               55
    49 4.36731790976464E+10  4.25807252067361E+10  4.994052056169831E-1  3.0775312119562   6.172              54
    50 7.20048993373859E+10  7.0162939757076E+10   4.994014525957048E-1  3.0793211384518   6.284              55
    51 1.1871600913217E+11   1.15611452147765E+11  4.993976329958017E-1  3.08112377284785  6.396              54
    52 1.95729609428839E+11  1.90498807703857E+11  4.993937471682944E-1  3.08293934096796  6.507              55
    53 3.22703570371155E+11  3.13893241900429E+11  4.993897954633482E-1  3.084768068197    6.619              54
    54 5.32048240601799E+11  5.17213602990709E+11  4.99385778230274E-1   3.08661017948954  6.73               55
    55 8.77199251318765E+11  8.52228694241585E+11  4.9938169581753E-1    3.08846589937849  6.841              54
    56 1.44625706429148E+12  1.4042375419149E+12   4.99377548572722E-1   3.09033545198377  6.952              55
    57 2.38447478479768E+12  2.3137860123943E+12   4.993733368426055E-1  3.09221906102108  7.063              55
    58 3.93133429714404E+12  3.81244827186877E+12  4.993690609730858E-1  3.09411694981089  7.173              55
    59 6.48167447793432E+12  6.28178195009594E+12  4.993647213092201E-1  3.09602934128736  7.283              54
    60 1.06864745815245E+13  1.03504648835653E+13  4.993603181952179E-1  3.09795645800749  7.394              55
    61 1.76190179513556E+13  1.70543404768674E+13  4.993558519744427E-1  3.0998985221603   7.504              55
    62 2.90488496652474E+13  2.81001118456154E+13  4.993513229894126E-1  3.10185575557615  7.614              56
    63 4.78934563324637E+13  4.62998077093084E+13  4.993467315818018E-1  3.10382837973609  7.723              55
    64 7.89629601826807E+13  7.628661038845E+13    4.993420780924417E-1  3.10581661578133  7.833              54
    65 1.30187912050633E+14  1.25694251214742E+14  4.993373628613218E-1  3.10782068452286  7.942              56
    66 2.14643579785916E+14  2.07100167667318E+14  4.99332586227591E-1   3.10984080645103  8.051              55
    67 3.5388743561226E+14   3.41227007901469E+14  4.99327748529559E-1   3.11187720174532  8.16               55
    68 5.83461742527455E+14  5.62217333661058E+14  4.993228501046966E-1  3.11393009028416  8.269              55
    69 9.61965785544776E+14  9.26324015880633E+14  4.993178912896378E-1  3.11599969165483  8.378              55
    70 1.58601345231343E+15  1.5262281148808E+15   4.993128724201802E-1  3.11808622516347  8.487              55
    71 2.6148941144457E+15   2.51462820521917E+15  4.993077938312866E-1  3.12018990984509  8.595              56
    72 4.3112315471152E+15   4.14310458916486E+15  4.993026558570858E-1  3.12231096447378  8.703              55
    73 7.10801915464224E+15  6.82614904800666E+15  4.99297458830874E-1   3.12444960757291  8.811              55
    74 1.17191423728026E+16  1.12466548397445E+16  4.992922030851156E-1  3.12660605742544  8.919              55
    75 1.93215993044028E+16  1.852971209294E+16    4.992868889514446E-1  3.12878053208429  9.027              56
    76 3.18559317571138E+16  3.05289350872483E+16  4.992815167606657E-1  3.1309732493828   9.135              55
    77 5.25215522859252E+16  5.02981826533315E+16  4.992760868427551E-1  3.1331844269453   9.243              56
    78 8.65934004239937E+16  8.28687066975556E+16  4.99270599526862E-1   3.13541428219765  9.35               55
    79 1.42768381181292E+17  1.36529478928053E+17  4.992650551413098E-1  3.13766303237796  9.458              55
    80 2.3538526683702E+17   2.24936474510278E+17  4.992594540135966E-1  3.13993089454733  9.565              56
    81 3.8808469624362E+17   3.7058760583941E+17   4.992537964703969E-1  3.14221808560067  9.672              55
    82 6.39843493530055E+17  6.10547457983691E+17  4.992480828375627E-1  3.14452482227759  9.779              56
    83 1.05492357770208E+18  1.00587837311386E+18  4.99242313440124E-1   3.14685132117335  9.886              56
    84 1.7392749415205E+18   1.65717737813259E+18  4.992364886022909E-1  3.14919779874989  9.992              55
    85 2.86757959168057E+18  2.73017182086575E+18  4.992306086474539E-1  3.15156447134694  1.0099E+1          56
    86 4.72783946822935E+18  4.4978855218107E+18   4.992246738981852E-1  3.15395155519312  1.0206E+1          55
    87 7.7948894957253E+18   7.41010268591349E+18  4.992186846762402E-1  3.15635926641726  1.0312E+1          56
    88 1.28516001143593E+19  1.22078010157737E+19  4.99212641302558E-1   3.1587878210596   1.0418E+1          56
    89 2.11887064710764E+19  2.01116647423116E+19  4.992065440972633E-1  3.16123743508319  1.0524E+1          56
    90 3.4934271057485E+19   3.3132632241652E+19   4.992003933796664E-1  3.16370832438526  1.063E+1           56
    91 5.75968757688795E+19  5.45834743973358E+19  4.991941894682656E-1  3.16620070480878  1.0736E+1          56
    92 9.49611942060245E+19  8.99215339109451E+19  4.991879326807471E-1  3.1687147921539   1.0841E+1          56
    93 1.56564540778558E+20  1.48136987298913E+20  4.991816233339873E-1  3.17125080218962  1.0948E+1          56
    94 2.58131288619007E+20  2.44039742358072E+20  4.991752617440526E-1  3.17380895066541  1.1053E+1          56
    95 4.2558654617939E+20   4.02026641007805E+20  4.991688482262019E-1  3.17638945332296  1.1158E+1          56
    96 7.01673591209763E+20  6.6228712460491E+20   4.991623830948864E-1  3.17899252590792  1.1263E+1          58
    97 1.15686417491608E+21  1.09102567711465E+21  4.991558666637517E-1  3.18161838418177  1.1369E+1          57
    98 1.9073465724951E+21   1.79730089309425E+21  4.991492992456383E-1  3.1842672439337   1.1473E+1          56
    99 3.14468286466965E+21  2.96076368340215E+21  4.99142681152583E-1   3.18693932099254  1.1579E+1          57
   100 5.18470552858707E+21  4.8773487974196E+21   4.991360126958202E-1  3.18963483123881  1.1683E+1          56
   101 8.54813428729806E+21  8.03453925988935E+21  4.991292941857823E-1  3.19235399061676  1.1789E+1          56
   102 1.40934908242694E+22  1.32353433107923E+22  4.991225259321013E-1  3.19509701514646  1.1893E+1          56
   103 2.323623810039E+22    2.18025099958695E+22  4.991157082436102E-1  3.19786412093603  1.1998E+1          57
   104 3.83100800071658E+22  3.59149119364558E+22  4.991088414283434E-1  3.20065552419383  1.2102E+1          56
   105 6.31626437900379E+22  5.9161629107507E+22   4.991019257935383E-1  3.20347144124074  1.2207E+1          56
   106 1.0413759433029E+23   9.74546192130028E+22  4.990949616456361E-1  3.2063120885225   1.2311E+1          57
   107 1.71693866851892E+23  1.60532030217003E+23  4.990879492902833E-1  3.20917768262214  1.2416E+1          56
   108 2.83075330327469E+23  2.64434375641105E+23  4.990808890323324E-1  3.21206844027234  1.2519E+1          56
   109 4.66712318321364E+23  4.35583126550222E+23  4.99073781175843E-1   3.21498457836799  1.2623E+1          57
   110 7.69478526514202E+23  7.17498647866725E+23  4.990666260240833E-1  3.21792631397872  1.2727E+1          56
   111 1.26865561401096E+24  1.18186537191986E+24  4.990594238795309E-1  3.22089386436148  1.2831E+1          56
   112 2.091659496013E+24    1.9467572075078E+24   4.990521750438738E-1  3.2238874469732   1.2934E+1          56
   113 3.44856350213854E+24  3.20665631916814E+24  4.990448798180118E-1  3.22690727948351  1.3039E+1          57
   114 5.68571999933593E+24  5.28189619834096E+24  4.990375385020572E-1  3.22995357978745  1.3142E+1          57
   115 9.37416750215027E+24  8.70009730094229E+24  4.990301513953364E-1  3.23302656601829  1.3246E+1          56
   116 1.5455389355901E+25   1.4330295277429E+25   4.990227187963907E-1  3.2361264565604   1.3349E+1          57
   117 2.54816291780264E+25  2.36038545962343E+25  4.990152410029771E-1  3.23925347006213  1.3452E+1          57
   118 4.20121040379051E+25  3.88783177218195E+25  4.9900771831207E-1    3.24240782544877  1.3556E+1          57
   119 6.9266249554161E+25   6.40366672986479E+25  4.990001510198622E-1  3.24558974193555  1.3658E+1          56
   120 1.14200738981568E+26  1.05474307405707E+26  4.989925394217651E-1  3.24879943904068  1.3761E+1          57
   121 1.88285187488585E+26  1.73724602860414E+26  4.989848838124112E-1  3.25203713659849  1.3864E+1          57
   122 3.10429793570192E+26  2.86136090004423E+26  4.989771844856541E-1  3.2553030547725   1.3967E+1          56
   123 5.11812203718225E+26  4.71281720982344E+26  4.9896944173457E-1    3.25859741406872  1.407E+1           57
   124 8.43835666874145E+26  7.76220629554807E+26  4.98961655851459E-1   3.26192043534882  1.4172E+1          57
