
C0 = 0.4995   Ce = 0.4933   Ci = 0.5   C6 = -3.6319444444444444444444444E-4   C5 = 4.4324074074074074074E-3   C4 = -2.02606481481481481481E-2   C3 = 4.10768518518518518519E-2   C2 = -3.10854166666666666667E-2   zi = 3.0   ze = 1.0   J = 874496
     t M                     N                     C                     k                 R
     0 1.                    1.                    4.995E-1              1.                1.                  0
     1 1.648721270700128147  1.648097927431598566  4.994999575262277E-1  1.3286301621902   1.                  7
     2 2.718281828459045235  2.716226547259803644  4.994998302018867E-1  1.99225374271314  1.                  6
     3 4.481689070338064823  4.476606201933886196  4.994996184212752E-1  2.70068668137061  1.                  7
     4 7.389056098930650227  7.377881648130676445  4.994993225778205E-1  2.99895182108774  1.                  7
     5 1.218249396070347E+1  1.21594611542969E+1   4.994989430640392E-1  3.0134966063706   1.072               7
     6 2.008553692318767E+1  2.003995730651797E+1  4.994984802715382E-1  3.0132090238448   1.181               6
     7 3.311545195869231E+1  3.302775354014957E+1  4.994979345910162E-1  3.01359680276915  1.292               7
     8 5.459815003314424E+1  5.443284366841768E+1  4.994973064122648E-1  3.01429664228034  1.407               7
     9 9.001713130052181E+1  8.971038499226028E+1  4.994965961241694E-1  3.01516766879833  1.523               7
    10 1.484131591025766E+2  1.478509404194073E+2  4.994958041147107E-1  3.01614212444324  1.64                6
    11 2.446919322642204E+2  2.436717038989088E+2  4.994949307709657E-1  3.01718249322782  1.758               7
    12 4.034287934927351E+2  4.01592609545865E+2   4.994939764791089E-1  3.01826633303726  1.876               7
    13 6.651416330443618E+2  6.618596289905765E+2  4.994929416244134E-1  3.01937965617466  1.995               6
    14 1.096633158428459E+3  1.090801192282726E+3  4.994918265912522E-1  3.02051357510723  2.114               7
    15 1.808042414456063E+3  1.797731443239919E+3  4.994906317630993E-1  3.02166241182919  2.233               7
    16 2.980957987041728E+3  2.962807863283701E+3  4.994893575225307E-1  3.02282255426306  2.352               7
    17 4.914768840299134E+3  4.882942292841846E+3  4.994880042512257E-1  3.0239917344187   2.471               6
    18 8.103083927575384E+3  8.047464875183214E+3  4.994865723299684E-1  3.02516856207866  2.59                7
    19 1.335972682966187E+4  1.326282223082119E+4  4.99485062138648E-1   3.0263522202361   2.709               7
    20 2.202646579480672E+4  2.185808619226763E+4  4.99483474056261E-1   3.02754226542085  2.828               7
    21 3.631550267424664E+4  3.602364157199408E+4  4.994818084609115E-1  3.02873849681071  2.947               6
    22 5.987414171519782E+4  5.936935777133757E+4  4.994800657298127E-1  3.02994087061978  3.065               7
    23 9.87157710107605E+4   9.784447676268371E+4  4.994782462392883E-1  3.03114944427629  3.183               7
    24 1.627547914190039E+5  1.612536196736742E+5  4.994763503647733E-1  3.03236434015066  3.301               7
    25 2.683372865208745E+5  2.65755210757512E+5   4.994743784808151E-1  3.03358572206905  3.418               6
    26 4.424133920089205E+5  4.37978943800974E+5   4.99472330961075E-1   3.0348137801568   3.536               7
    27 7.294163698477013E+5  7.218114537023159E+5  4.994702081783293E-1  3.0360487210886   3.653               7
    28 1.202604284164777E+6  1.189579215951788E+6  4.9946801050447E-1    3.0372907618353   3.77                7
    29 1.982759263537569E+6  1.96047809906044E+6   4.994657383105065E-1  3.0385401256647   3.887               6
