
C0 = 0.4995   Ce = 0.4933   Ci = 0.5   C6 = -3.6319444444444444444444444E-4   C5 = 4.4324074074074074074E-3   C4 = -2.02606481481481481481E-2   C3 = 4.10768518518518518519E-2   C2 = -3.10854166666666666667E-2   zi = 3.0   ze = 1.0   J = 874496
     t M                     N                     C                     k                 R
    30 3.26901737247211E+6   3.230945400594893E+6  4.994633919665665E-1  3.03979703959091  4.003               7
    31 5.389698476283012E+6  5.32471303528756E+6   4.994609718418972E-1  3.04106173275187  4.12                7
    32 8.886110520507873E+6  8.775295059969148E+6  4.994584783048665E-1  3.0423344353803   4.236               7
    33 1.465071942895352E+7  1.446192648214244E+7  4.994559117229639E-1  3.04361537815322  4.351               7
    34 2.41549527535753E+7   2.383358866659923E+7  4.99453272462802E-1   3.04490479178215  4.467               6
    35 3.982478439757623E+7  3.927819912994398E+7  4.994505608901175E-1  3.04620290675662  4.582               7
    36 6.565996913733051E+7  6.473102759930265E+7  4.994477773697722E-1  3.04750995318456  4.697               7
    37 1.082549877502308E+8  1.066773479269927E+8  4.994449222657544E-1  3.04882616069431  4.812               7
    38 1.784823009631873E+8  1.758047735183915E+8  4.9944199594118E-1    3.05015175837553  4.926               7
    39 2.942675660415088E+8  2.897262390181116E+8  4.994389987582934E-1  3.05148697474463  5.041               7
    40 4.851651954097903E+8  4.774673475266585E+8  4.994359310784689E-1  3.05283203772593  5.155               7
    41 7.999021774755054E+8  7.868612832694407E+8  4.994327932622118E-1  3.0541871746425   5.269               6
    42 1.318815734483215E+9  1.29673519434619E+9   4.994295856691595E-1  3.05555261221334  5.382               7
    43 2.174359553576489E+9  2.136992561628877E+9  4.994263086580826E-1  3.05692857655443  5.496               7
    44 3.584912846131592E+9  3.52170751397646E+9   4.994229625868863E-1  3.0583152931824   5.609               7
    45 5.91052206302329E+9   5.80366169225495E+9   4.99419547812611E-1   3.0597129870198   5.722               7
    46 9.744803446248903E+9  9.564216413337729E+9  4.99416064691434E-1   3.06112188240133  5.835               7
    47 1.60664647206225E+10  1.5761413837993E+10   4.994125135786706E-1  3.06254220308094  5.947               7
    48 2.64891221298435E+10  2.5974033250099E+10   4.994088948287747E-1  3.0639741722393   6.06                7
    49 4.36731790976464E+10  4.28037703241646E+10  4.994052087953404E-1  3.06541801249163  6.172               7
    50 7.20048993373859E+10  7.05379837643705E+10  4.994014558311034E-1  3.0668739458958   6.284               6
    51 1.1871600913217E+11   1.16241823259089E+11  4.993976362879412E-1  3.06834219396064  6.396               7
    52 1.95729609428839E+11  1.9155791913479E+11   4.993937505168753E-1  3.06982297765432  6.507               7
    53 3.22703570371155E+11  3.1567203167591E+11   4.993897988680716E-1  3.07131651741299  6.619               7
    54 5.32048240601799E+11  5.20200025062815E+11  4.993857816908419E-1  3.07282303314945  6.73                7
    55 8.77199251318765E+11  8.5724087804943E+11   4.993816993336448E-1  3.07434274426196  6.841               7
    56 1.44625706429148E+12  1.41264679400923E+12  4.993775521440873E-1  3.0758758696432   6.952               7
    57 2.38447478479768E+12  2.32789017774491E+12  4.99373340468925E-1   3.0774226276892   7.063               7
    58 3.93133429714404E+12  3.83609667584492E+12  4.993690646540646E-1  3.07898323630853  7.173               7
    59 6.48167447793432E+12  6.3214211837787E+12   4.993647250445636E-1  3.08055791293148  7.283               7
    60 1.06864745815245E+13  1.04168884127738E+13  4.993603219846324E-1  3.08214687451934  7.394               7
    61 1.76190179513556E+13  1.71656150722789E+13  4.99355855817635E-1   3.08375033757378  7.504               7
    62 2.90488496652474E+13  2.82864712776262E+13  4.993513268860905E-1  3.08536851814635  7.614               8
    63 4.78934563324637E+13  4.66118343806073E+13  4.993467355316737E-1  3.08700163184802  7.723               6
    64 7.89629601826807E+13  7.68089110499945E+13  4.993420820952167E-1  3.08864989385882  7.833               8
    65 1.30187912050633E+14  1.26568311360865E+14  4.993373669167098E-1  3.09031351893753  7.942               7
    66 2.14643579785916E+14  2.08562537290867E+14  4.993325903353026E-1  3.09199272143155  8.051               7
    67 3.5388743561226E+14   3.4367309072435E+14   4.993277526893053E-1  3.09368771528674  8.16                7
    68 5.83461742527455E+14  5.66307926451632E+14  4.993228543161897E-1  3.09539871405736  8.269               7
    69 9.61965785544776E+14  9.33163214689173E+14  4.993178955525903E-1  3.09712593091615  8.378               7
    70 1.58601345231343E+15  1.53766034017683E+15  4.993128767343057E-1  3.09886957866443  8.487               7
    71 2.6148941144457E+15   2.5337340149901E+15   4.99307798196299E-1   3.10062986974227  8.595               7
    72 4.3112315471152E+15   4.17502817785293E+15  4.993026602727002E-1  3.10240701623877  8.703               7
    73 7.10801915464224E+15  6.8794790865765E+15   4.992974632968058E-1  3.10420122990239  8.811               7
    74 1.17191423728026E+16  1.13357282904793E+16  4.992922076010812E-1  3.10601272215133  8.919               7
    75 1.93215993044028E+16  1.86784573094517E+16  4.992868935171609E-1  3.10784170408403  9.027               7
    76 3.18559317571138E+16  3.07772816573041E+16  4.992815213758503E-1  3.1096883864897   9.135               7
    77 5.25215522859252E+16  5.07127506237879E+16  4.992760915071265E-1  3.11155297985893  9.243               7
    78 8.65934004239937E+16  8.3560629529196E+16   4.992706042401393E-1  3.11343569439436  9.35                7
    79 1.42768381181292E+17  1.37684116687734E+17  4.992650599032127E-1  3.11533674002143  9.458               7
    80 2.3538526683702E+17   2.26862942514909E+17  4.992594588238457E-1  3.11725632639917  9.565               7
    81 3.8808469624362E+17   3.73801321874448E+17  4.992538013287134E-1  3.11919466293107  9.672               7
    82 6.39843493530055E+17  6.15907701186081E+17  4.992480877436684E-1  3.12115195877602  9.779               7
    83 1.05492357770208E+18  1.0148174848587E+18   4.992423183937416E-1  3.1231284228593   9.886               7
    84 1.7392749415205E+18   1.67208260660883E+18  4.992364936031438E-1  3.12512426388363  9.992               7
    85 2.86757959168057E+18  2.7550213850802E+18   4.992306136952659E-1  3.12713969034024  1.0099E+1           7
    86 4.72783946822935E+18  4.5393080117027E+18   4.992246789926812E-1  3.1291749105201   1.0206E+1           7
    87 7.7948894957253E+18   7.47914133345758E+18  4.992186898171456E-1  3.13123013252515  1.0312E+1           7
    88 1.28516001143593E+19  1.23228514650595E+19  4.992126464895989E-1  3.1333055642795   1.0418E+1           7
    89 2.11887064710764E+19  2.03033662841919E+19  4.992065493301664E-1  3.13540141354087  1.0524E+1           8
    90 3.4934271057485E+19   3.34520105132013E+19  4.992003986581593E-1  3.1375178879119   1.063E+1            7
    91 5.75968757688795E+19  5.5115495413532E+19   4.991941947920764E-1  3.13965519485167  1.0736E+1           7
    92 9.49611942060245E+19  9.08076630576962E+19  4.991879380496048E-1  3.14181354168715  1.0841E+1           7
    93 1.56564540778558E+20  1.49612731812926E+20  4.991816287476213E-1  3.1439931356248   1.0948E+1           7
    94 2.58131288619007E+20  2.46497122421889E+20  4.991752672021934E-1  3.14619418376213  1.1053E+1           7
    95 4.2558654617939E+20   4.06118131267033E+20  4.991688537285803E-1  3.1484168930994   1.1158E+1           7
    96 7.01673591209763E+20  6.69098577496625E+20  4.991623886412341E-1  3.15066147055132  1.1263E+1           7
    97 1.15686417491608E+21  1.1023639789268E+21   4.99155872253801E-1   3.1529281229588   1.1369E+1           8
    98 1.9073465724951E+21   1.81617242839332E+21  4.991493048791223E-1  3.15521705710074  1.1473E+1           7
    99 3.14468286466965E+21  2.99217009617692E+21  4.991426868292355E-1  3.15752847970597  1.1579E+1           7
   100 5.18470552858707E+21  4.92961033731587E+21  4.991360184153754E-1  3.15986259746507  1.1683E+1           7
   101 8.54813428729806E+21  8.12149528863424E+21  4.991292999479753E-1  3.16221961704236  1.1789E+1           7
   102 1.40934908242694E+22  1.3380011036635E+22   4.991225317366679E-1  3.1645997450879   1.1893E+1           7
   103 2.323623810039E+22    2.20431672086932E+22  4.991157140902869E-1  3.16700318824958  1.1998E+1           7
   104 3.83100800071658E+22  3.6315208781558E+22   4.991088473168672E-1  3.16943015318513  1.2102E+1           7
   105 6.31626437900379E+22  5.98273961169108E+22  4.99101931723647E-1   3.17188084657433  1.2207E+1           8
   106 1.0413759433029E+23   9.85618035507503E+22  4.990949676170684E-1  3.17435547513119  1.2311E+1           7
   107 1.71693866851892E+23  1.62373123843115E+23  4.990879553027783E-1  3.17685424561616  1.2416E+1           7
   108 2.83075330327469E+23  2.67495569207027E+23  4.990808950856298E-1  3.17937736484843  1.2519E+1           7
   109 4.66712318321364E+23  4.40672512240923E+23  4.990737872696834E-1  3.1819250397182   1.2623E+1           7
   110 7.69478526514202E+23  7.25959230115917E+23  4.99066632158208E-1   3.18449747719914  1.2727E+1           7
   111 1.26865561401096E+24  1.19592895863364E+24  4.990594300536816E-1  3.1870948843607   1.2831E+1           7
   112 2.091659496013E+24    1.97013230972086E+24  4.990521812577931E-1  3.18971746838063  1.2934E+1           7
   113 3.44856350213854E+24  3.24550471840597E+24  4.990448860714429E-1  3.1923654365574   1.3039E+1           7
   114 5.68571999933593E+24  5.34645500802722E+24  4.990375447947441E-1  3.19503899632285  1.3142E+1           8
   115 9.37416750215027E+24  8.80737297483596E+24  4.990301577270237E-1  3.19773835525463  1.3246E+1           7
   116 1.5455389355901E+25   1.45085376269456E+25  4.990227251668234E-1  3.20046372108894  1.3349E+1           7
   117 2.54816291780264E+25  2.38999863639517E+25  4.990152474119013E-1  3.2032153017331   1.3452E+1           7
   118 4.20121040379051E+25  3.93702712549962E+25  4.990077247592323E-1  3.20599330527835  1.3556E+1           7
   119 6.9266249554161E+25   6.48538678840891E+25  4.990001575050096E-1  3.20879794001247  1.3658E+1           7
   120 1.14200738981568E+26  1.06831680565179E+26  4.989925459446457E-1  3.21162941443266  1.3761E+1           7
   121 1.88285187488585E+26  1.75979030698209E+26  4.989848903727735E-1  3.21448793725834  1.3864E+1           8
   122 3.10429793570192E+26  2.89880129232056E+26  4.989771910832474E-1  3.21737371744402  1.3967E+1           7
   123 5.11812203718225E+26  4.77499164925777E+26  4.989694483691442E-1  3.22028696419216  1.407E+1            7
   124 8.43835666874145E+26  7.86544707063885E+26  4.989616625227645E-1  3.22322788696618  1.4172E+1           7
   125 1.39124981295083E+27  1.29559963509273E+27  4.989538338356337E-1  3.22619669550342  1.4274E+1           7
   126 2.2937831594696E+27   2.13410021844057E+27  4.989459625985029E-1  3.22919359982814  1.4378E+1           8
   127 3.78180908539129E+27  3.51524317879337E+27  4.9893804910135E-1    3.23221881026464  1.448E+1            7
   128 6.23514908081162E+27  5.79018567400606E+27  4.989300936333814E-1  3.23527253745031  1.4582E+1           7
   129 1.02800229155205E+28  9.53731531116844E+27  4.989220964830319E-1  3.23835499234882  1.4684E+1           7
   130 1.69488924441033E+28  1.57092809797472E+28  4.98914057937967E-1   3.24146638626325  1.4787E+1           8
   131 2.79439994874019E+28  2.58751557466964E+28  4.989059782850832E-1  3.2446069308494   1.4889E+1           7
   132 4.60718663433129E+28  4.26192809153337E+28  4.988978578105095E-1  3.24777683812895  1.4991E+1           7
   133 7.59596660210733E+28  7.01981595532288E+28  4.988896967996082E-1  3.25097632050286  1.5092E+1           8
   134 1.25236317084221E+29  1.15622346601801E+29  4.98881495536976E-1   3.25420559076464  1.5194E+1           7
   135 2.06479779840902E+29  1.90438284402539E+29  4.988732543064456E-1  3.25746486211377  1.5297E+1           7
   136 3.40427604993174E+29  3.13662898930264E+29  4.98864973391086E-1   3.26075434816913  1.5398E+1           8
   137 5.61270233485747E+29  5.16616695114904E+29  4.98856653073204E-1   3.26407426298244  1.55E+1             7
   138 9.25378172558779E+29  8.50883491898317E+29  4.988482936343452E-1  3.26742482105175  1.5601E+1           7
   139 1.52569067653927E+30  1.40141937789687E+30  4.988398953552954E-1  3.27080623733503  1.5703E+1           8
   140 2.51543867091917E+30  2.30814177430144E+30  4.98831458516081E-1   3.2742187272637   1.5804E+1           7
   141 4.14725724188609E+30  3.80148402592718E+30  4.988229833959708E-1  3.27766250675632  1.5906E+1           7
   142 6.83767122976274E+30  6.26094902354014E+30  4.988144702734765E-1  3.28113779223214  1.6007E+1           8
   143 1.12734139985641E+31  1.03115382818885E+31  4.98805919426354E-1   3.28464480062494  1.6108E+1           7
   144 1.85867174528413E+31  1.69825548342314E+31  4.987973311316047E-1  3.28818374939667  1.6209E+1           7
   145 3.06443164169927E+31  2.79691232584424E+31  4.987887056654762E-1  3.29175485655128  1.631E+1            7
   146 5.0523936302761E+31   4.60628626413839E+31  4.987800433034637E-1  3.29535834064853  1.6411E+1           8
   147 8.32998884618605E+31  7.58611153990822E+31  4.987713443203106E-1  3.29899442081787  1.6512E+1           7
   148 1.37338297954018E+32  1.2493488915981E+32   4.987626089900103E-1  3.30266331677236  1.6613E+1           7
   149 2.2643257311854E+32   2.0575217950836E+32   4.987538375858066E-1  3.30636524882256  1.6714E+1           7
   150 3.733241996799E+32    3.38845196791679E+32  4.98745030380195E-1   3.31010043789059  1.6814E+1           8
   151 6.15507548879353E+32  5.58025941289623E+32  4.987361876449239E-1  3.31386910552414  1.6916E+1           7
   152 1.01480038811389E+33  9.18974781670625E+32  4.987273096509957E-1  3.31767147391053  1.7016E+1           7
   153 1.67312298539811E+33  1.51338328704829E+33  4.987183966686675E-1  3.32150776589084  1.7117E+1           8
   154 2.75851345452317E+33  2.49224304707283E+33  4.987094489674525E-1  3.32537820497408  1.7217E+1           7
   155 4.54801980798484E+33  4.10419471912915E+33  4.98700466816121E-1   3.3292830153514   1.7318E+1           7
   156 7.49841699699012E+33  6.75867574430488E+33  4.986914504827014E-1  3.33322242191029  1.7418E+1           7
   157 1.2362799599517E+34   1.11299019910729E+34  4.986824002344815E-1  3.33719665024894  1.7518E+1           8
   158 2.03828106651267E+34  1.83280866378638E+34  4.986733163380091E-1  3.34120592669053  1.7618E+1           7
   159 3.36055735002478E+34  3.01813710055076E+34  4.986641990590935E-1  3.34525047829765  1.7719E+1           7
   160 5.54062238439351E+34  4.97000505038651E+34  4.986550486628064E-1  3.34933053288666  1.7819E+1           8
   161 9.13494197806684E+34  8.18409596307457E+34  4.986458654134829E-1  3.35344631904224  1.7919E+1           7
   162 1.50609731458503E+35  1.34766080862208E+35  4.986366495747228E-1  3.35759806613185  1.8019E+1           7
   163 2.48313467830068E+35  2.21914905202314E+35  4.986274014093912E-1  3.36178600432033  1.8118E+1           7
   164 4.09399696212745E+35  3.65416641825546E+35  4.986181211796203E-1  3.36601036458448  1.8218E+1           8
   165 6.74985987364124E+35  6.01708479595544E+35  4.986088091468096E-1  3.37027137872774  1.8318E+1           7
   166 1.11286375479176E+36  9.9078606216214E+35   4.985994655716276E-1  3.37456927939487  1.8418E+1           7
   167 1.83480214391639E+36  1.63143426131408E+36  4.985900907140126E-1  3.37890430008673  1.8518E+1           8
   168 3.02507732220114E+36  2.68630418331412E+36  4.985806848331738E-1  3.38327667517507  1.8617E+1           7
   169 4.9875093266256E+36   4.42320130030656E+36  4.985712481875924E-1  3.38768663991735  1.8717E+1           7
   170 8.22301271462291E+36  7.28306379091253E+36  4.985617810350226E-1  3.39213443047169  1.8816E+1           8
   171 1.35574559718364E+37  1.19918835627272E+37  4.985522836324926E-1  3.39662028391177  1.8916E+1           7
   172 2.23524660373472E+37  1.9744973668783E+37   4.985427562363058E-1  3.40114443824186  1.9014E+1           8
   173 3.68529862083765E+37  3.25103442788207E+37  4.985331991020418E-1  3.40570713241185  1.9114E+1           7
   174 6.07603022505687E+37  5.35281728493913E+37  4.985236124845575E-1  3.41030860633237  1.9213E+1           8
   175 1.00176802734682E+38  8.813311051072E+37    4.985139966379879E-1  3.41494910088991  1.9312E+1           7
   176 1.651636254994E+38    1.45108078889369E+38  4.985043518157476E-1  3.41962885796205  1.9411E+1           7
   177 2.72308782506811E+38  2.38913059465863E+38  4.984946782705314E-1  3.4243481204327   1.9511E+1           8
   178 4.48961281917435E+38  3.9335436852858E+38   4.984849762543158E-1  3.42910713220743  1.961E+1            7
   179 7.40212015218071E+38  6.4762535584484E+38   4.984752460183594E-1  3.4339061382288   1.9709E+1           8
   180 1.22040329431784E+39  1.06625106058504E+39  4.984654878132049E-1  3.43874538449185  1.9808E+1           7
   181 2.01210487017433E+39  1.75545969399817E+39  4.984557018886792E-1  3.44362511805946  1.9907E+1           8
   182 3.31740009833574E+39  2.89013407574337E+39  4.98445888493895E-1   3.44854558707797  2.0006E+1           7
   183 5.46946810554884E+39  4.75817979786364E+39  4.984360478772517E-1  3.45350704079276  2.0104E+1           8
   184 9.0176284050343E+39   7.83356452916385E+39  4.984261802864366E-1  3.45850972956384  2.0202E+1           7
   185 1.48675557626497E+40  1.28965548174643E+40  4.984162859684255E-1  3.46355390488158  2.0301E+1           7
   186 2.45124554292009E+40  2.12316470873819E+40  4.984063651694844E-1  3.46863981938249  2.04E+1             8
   187 4.04142066632123E+40  3.49533936930705E+40  4.983964181351699E-1  3.473767726865    2.0499E+1           7
   188 6.6631762164109E+40   5.75427592185603E+40  4.983864451103308E-1  3.47893788230537  2.0597E+1           8
   189 1.09857203584198E+41  9.4730030692745E+40   4.983764463391088E-1  3.48415054187358  2.0696E+1           7
   190 1.81123908288902E+41  1.55948184478981E+41  4.983664220649395E-1  3.48940596294939  2.0793E+1           8
   191 2.98622840228253E+41  2.56725262829073E+41  4.983563725305538E-1  3.49470440413833  2.0892E+1           7
   192 4.92345828601206E+41  4.22622406947433E+41  4.983462979779786E-1  3.50004612528788  2.099E+1            8
   193 8.11741040155288E+41  6.95716091132296E+41  4.98336198648538E-1   3.50543138750363  2.1089E+1           7
   194 1.33833471920427E+42  1.14526815165049E+42  4.983260747828544E-1  3.51086045316552  2.1187E+1           8
   195 2.20654091886856E+42  1.88528891976513E+42  4.983159266208492E-1  3.51633358594417  2.1284E+1           7
   196 3.6379709476088E+42   3.10344627654374E+42  4.983057544017444E-1  3.52185105081725  2.1383E+1           8
   197 5.99800008351174E+42  5.10864969047423E+42  4.98295558364063E-1   3.5274131140859   2.1481E+1           7
   198 9.88903031934695E+42  8.4093722905728E+42   4.982853387456308E-1  3.53302004339129  2.1579E+1           8
   199 1.63042546341058E+43  1.3842565594047E+43   4.982750957835765E-1  3.53867210773114  2.1677E+1           7
   200 2.68811714181614E+43  2.27858453297257E+43  4.982648297143337E-1  3.54436957747642  2.1774E+1           8
   201 4.4319559098459E+43   3.75067327829046E+43  4.982545407736413E-1  3.55011272438802  2.1872E+1           8
   202 7.30705997936807E+43  6.1737472834458E+43   4.982442291965445E-1  3.55590182163354  2.197E+1            7
   203 1.20473052142658E+44  1.01621119852479E+44  4.982338952173965E-1  3.56173714380418  2.2068E+1           8
   204 1.98626483613765E+44  1.67268672364282E+44  4.982235390698588E-1  3.56761896693162  2.2166E+1           7
   205 3.27479708458386E+44  2.75321887757759E+44  4.982131609869025E-1  3.57354756850504  2.2263E+1           8
   206 5.39922761058017E+44  4.53171253890322E+44  4.982027612008095E-1  3.57952322748819  2.2361E+1           8
   207 8.90182140691495E+44  7.45898003376034E+44  4.981923399431734E-1  3.58554622433653  2.2459E+1           7
   208 1.46766223015544E+45  1.22769928569353E+45  4.981818974449004E-1  3.59161684101442  2.2557E+1           8
   209 2.41976593706046E+45  2.02069152399666E+45  4.981714339362105E-1  3.59773536101249  2.2653E+1           7
   210 3.98951957054722E+45  3.32585633548417E+45  4.981609496466386E-1  3.60390206936492  2.2751E+1           8
   211 6.57760577583564E+45  5.47396972409527E+45  4.981504448050352E-1  3.61011725266694  2.2848E+1           7
   212 1.08446385529002E+46  9.00941781287344E+45  4.981399196395678E-1  3.61638119909235  2.2946E+1           8
   213 1.78797862552213E+46  1.48281334868993E+46  4.981293743777218E-1  3.6226941984111   2.3043E+1           7
   214 2.9478783914555E+46   2.44045980923259E+46  4.981188092463014E-1  3.62905654200698  2.314E+1            8
   215 4.86022980742998E+46  4.0165413080256E+46   4.981082244714309E-1  3.63546852289543  2.3238E+1           8
   216 8.01316426400059E+46  6.61040719392129E+46  4.980976202785553E-1  3.64193043574129  2.3334E+1           7
   217 1.32114743676719E+47  1.08792654916685E+47  4.980869968924419E-1  3.64844257687682  2.3431E+1           8
   218 2.17820388072902E+47  1.79046698735979E+47  4.980763545371807E-1  3.65500524431967  2.3529E+1           7
   219 3.5912510700795E+47   2.94664917561322E+47  4.980656934361859E-1  3.66161873779096  2.3626E+1           8
   220 5.92097202766467E+47  4.84937657742613E+47  4.980550138121968E-1  3.66828335873349  2.3722E+1           7
   221 9.7620325252312E+47   7.98065881076371E+47  4.980443158872787E-1  3.67499941032999  2.3819E+1           8
   222 1.60948706696152E+48  1.31336949749126E+48  4.98033599882824E-1   3.68176719752146  2.3917E+1           8
   223 2.65359556221622E+48  2.16137660937606E+48  4.980228660195534E-1  3.68858702702565  2.4013E+1           7
   224 4.37503944726134E+48  3.55688071571533E+48  4.980121145175165E-1  3.69545920735554  2.411E+1            8
   225 7.2132205968519E+48   5.85333632886553E+48  4.980013455960931E-1  3.70238404883801  2.4207E+1           8
   226 1.1892590228282E+49   9.63236596428996E+48  4.979905594739945E-1  3.7093618636325   2.4303E+1           7
   227 1.9607566473089E+49   1.58510406408107E+49  4.979797563692639E-1  3.71639296574985  2.44E+1             8
   228 3.23274119108486E+49  2.60842219414071E+49  4.979689364992778E-1  3.72347767107116  2.4497E+1           7
   229 5.32988916441008E+49  4.29233183365217E+49  4.979581000807469E-1  3.73061629736683  2.4593E+1           8
   230 8.78750163583702E+49  7.06324026563745E+49  4.979472473297174E-1  3.73780916431559  2.469E+1            8
   231 1.44881408633167E+50  1.1622778219843E+50   4.979363784615716E-1  3.74505659352369  2.4787E+1           7
   232 2.38869060142499E+50  1.91254294652972E+50  4.97925493691029E-1   3.75235890854422  2.4882E+1           8
   233 3.93828500369087E+50  3.14707945947965E+50  4.979145932321478E-1  3.75971643489642  2.4979E+1           8
   234 6.49313425566446E+50  5.1784463475261E+50   4.97903677298325E-1   3.76712950008519  2.5076E+1           7
   235 1.07053685608256E+51  8.52092037962075E+50  4.978927461022984E-1  3.77459843362066  2.5172E+1           8
   236 1.76501688569177E+51  1.40206704174755E+51  4.978817998561468E-1  3.78212356703786  2.5268E+1           8
   237 2.91002088258491E+51  2.30699309336878E+51  4.978708387712917E-1  3.78970523391649  2.5364E+1           7
   238 4.7978133272993E+51   3.79593740520005E+51  4.978598630584978E-1  3.7973437699008   2.546E+1            8
   239 7.91025688556692E+51  6.24578482462006E+51  4.978488729278743E-1  3.80503951271958  2.5557E+1           8
   240 1.30418087839363E+52  1.0276618053283E+52   4.978378685888755E-1  3.81279280220624  2.5652E+1           7
   241 2.15023075504796E+52  1.69086380847445E+52  4.978268502503026E-1  3.82060398031901  2.5749E+1           8
   242 3.54513118276117E+52  2.78203283156974E+52  4.978158181203039E-1  3.82847339116124  2.5844E+1           8
   243 5.84493318844064E+52  4.57731791156229E+52  4.978047724063761E-1  3.8364013810018   2.5941E+1           7
   244 9.6366656736032E+52   7.53104253317105E+52  4.977937133153656E-1  3.84438829829564  2.6037E+1           8
   245 1.58881756746954E+53  1.23906564544636E+53  4.97782641053469E-1   3.85243449370436  2.6133E+1           8
   246 2.61951731874906E+53  2.03858449837996E+53  4.977715558262346E-1  3.860540320117    2.6229E+1           7
   247 4.31885392238895E+53  3.35396325061413E+53  4.977604578385629E-1  3.86870613267087  2.6324E+1           8
   248 7.12058632688934E+53  5.51801729204727E+53  4.97749347294708E-1   3.87693228877255  2.642E+1            8
   249 1.17398621369989E+54  9.07826768177691E+53  4.977382243982784E-1  3.88521914811893  2.6517E+1           7
   250 1.93557604203572E+54  1.49354418630476E+54  4.977270893522383E-1  3.89356707271847  2.6612E+1           8
   251 3.19122539156186E+54  2.45713108560714E+54  4.977159423589081E-1  3.90197642691246  2.6708E+1           8
   252 5.26144118266639E+54  4.04234830096827E+54  4.977047836199659E-1  3.91044757739649  2.6803E+1           7
   253 8.6746499923997E+54   6.65019353636684E+54  4.976936133364481E-1  3.91898089324203  2.6899E+1           8
   254 1.43020799583481E+55  1.09403189141394E+55  4.976824317087507E-1  3.92757674591806  2.6994E+1           8
   255 2.35801434425825E+55  1.79978579027192E+55  4.976712389366302E-1  3.93623550931291  2.709E+1            7
   256 3.8877084059946E+55   2.96078443879747E+55  4.976600352192045E-1  3.94495755975617  2.7186E+1           8
   257 6.40974754324298E+55  4.87066084823374E+55  4.97648820754954E-1   3.95374327604073  2.7281E+1           8
   258 1.05678871143626E+56  8.01242754769001E+55  4.976375957417228E-1  3.962593039445    2.7377E+1           8
   259 1.74235002718074E+56  1.31806085235617E+56  4.976263603767192E-1  3.97150723375517  2.7472E+1           7
